city,area,expenditures,communal_meal_parti,common_purchase_food_parti,community_workshop_parti,work_exchange_parti,fundraising_parti,communal_child_care_parti,prepare_for_fund_parti,communal_construction_parti,property_invasion_parti,security_committee_parti,election_champaign_parti,denomination,religiousness,bins,n_bins,binnr,score2_1,score2_2,score2_1sq,score2_2sq,score2_1cu,score2_2cu,moremoneyold,moremoneynew,winnersvsalwayslosers,losersvsalwayswinners,group,householdsize,ageresponder,schooling_resp,protestant,attendance,attendpermonth,Received_BDH
sto domingo,bamboli,200,0,0,0,0,0,0,0,0,0,0,0,catholic,8,34.200001,121,7,-2.0459991,0,4.1861119,0,-8.5647812,0,0,1,1,,winners,2,53,6,0,once a week,4,1
sto domingo,bamboli,400,0,0,0,0,0,1,0,0,0,0,0,catholic,6,33.400002,113,5,-3.0280013,0,9.1687918,0,-27.763113,0,0,1,1,,winners,5,36,6,0,once a month,1,1
sto domingo,bamboli,500,0,0,0,0,0,0,0,0,0,0,0,catholic,10,37,85,14,.54400098,.54400098,.29593706,.29593706,.16099006,.16099006,0,0,0,,always-losers,12,32,12,0,once a week,4,0
sto domingo,bamboli,250,0,0,0,0,0,0,0,0,0,0,0,atheist/none,0,32.200001,94,2,-4.2059989,0,17.690426,0,-74.405914,0,0,1,1,,winners,2,43,5,0,never,0,1
sto domingo,bamboli,300,0,0,0,0,0,0,0,0,0,0,0,catholic,4,35,146,9,-1.5350014,0,2.3562293,0,-3.6168153,0,0,1,1,,winners,5,30,6,0,once a week,4,1
sto domingo,bamboli,300,0,0,0,0,0,0,0,0,0,0,0,catholic,6,35,146,9,-1.5700012,0,2.4649038,0,-3.8699021,0,1,1,,1,always-winners,3,42,6,0,once a week,4,0
sto domingo,bamboli,1690,0,0,0,0,0,0,0,0,0,0,0,catholic,5,39.400002,133,20,2.8659997,2.8659997,8.213954,8.213954,23.541191,23.541191,0,0,0,,always-losers,5,37,12,0,once a week,4,0
sto domingo,bamboli,400,0,0,0,0,0,0,0,0,0,0,0,catholic,6,35,146,9,-1.573999,0,2.477473,0,-3.8995402,0,0,1,1,,winners,15,55,0,0,once a month,1,1
sto domingo,bamboli,450,0,0,0,1,0,0,0,1,0,0,0,catholic,6,40.599998,144,23,4.3570008,4.3570008,18.983456,18.983456,82.710938,82.710938,0,0,0,,always-losers,4,27,10,0,once a month,1,0
sto domingo,bamboli,200,0,0,0,0,0,0,0,0,0,0,0,atheist/none,0,37.400002,103,15,.92000043,.92000043,.8464008,.8464008,.77868909,.77868909,0,0,0,,always-losers,5,34,12,0,never,0,0
